[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | INFO: Run ShowRuntime Behavior [ RunTime:0.000178s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000675s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | INFO: Tag[ view_end ] --START--
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | INFO: Run ShowPageTrace Behavior [ RunTime:0.000175s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | INFO: Tag[ view_end ] --END-- [ RunTime:0.000204s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=current_pos&m=index&tag=0 | INFO: Tag[ app_begin ] --START--
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=current_pos&m=index&tag=0 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000319s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=current_pos&m=index&tag=0 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000387s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=current_pos&m=index&tag=0 | SQL: SHOW COLUMNS FROM `yjl_j_admin` [ RunTime:0.000442s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=current_pos&m=index&tag=0 | SQL: SHOW COLUMNS FROM `yjl_j_items_cate` [ RunTime:0.000293s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=current_pos&m=index&tag=0 | SQL: SHOW COLUMNS FROM `yjl_j_user` [ RunTime:0.000278s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=current_pos&m=index&tag=0 | SQL: SHOW COLUMNS FROM `yjl_j_album` [ RunTime:0.000269s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=current_pos&m=index&tag=0 | SQL: SHOW COLUMNS FROM `yjl_j_album_cate` [ RunTime:0.000249s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=current_pos&m=index&tag=0 | SQL: SHOW COLUMNS FROM `yjl_j_shops` [ RunTime:0.000241s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=current_pos&m=index&tag=0 | SQL: SHOW COLUMNS FROM `yjl_j_shops_sale` [ RunTime:0.000261s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=current_pos&m=index&tag=0 | SQL: SHOW COLUMNS FROM `yjl_j_shops_cate` [ RunTime:0.000271s ]
